,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,0.0,4.0,0.0," Today, millions of Americans are making their voices heard.","[50364, 2692, 11, 6803, 295, 6280, 366, 1455, 641, 9802, 2198, 13, 50564]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,4.0,7.0,0.0, What brought me to the poll today is I think my vote counts.,"[50564, 708, 3038, 385, 281, 264, 6418, 965, 307, 286, 519, 452, 4740, 14893, 13, 50714]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,7.0,10.0,0.0," Joining the tens of millions of people who cast their ballots early,","[50714, 40229, 264, 10688, 295, 6803, 295, 561, 567, 4193, 641, 36410, 2440, 11, 50864]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,10.0,13.0,0.0, Vice President Harris said she mailed her ballot in,"[50864, 13276, 3117, 17426, 848, 750, 463, 7292, 720, 21880, 294, 51014]",0.0,0.1111111111111111,-0.1111111111111111,0.0,1.0,0.0,0.0
4,4,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,13.0,16.0,0.0, as running mate Tim Walz voted early in person.,"[51014, 382, 2614, 11709, 7172, 9707, 89, 13415, 2440, 294, 954, 13, 51164]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,5,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,16.0,19.0,0.0," And today, former President Trump and his running mate J.D. Vance","[51164, 400, 965, 11, 5819, 3117, 3899, 293, 702, 2614, 11709, 508, 13, 35, 13, 691, 719, 51314]",0.09090909090909091,0.0,0.09090909090909091,0.0,1.0,0.0,0.0
6,6,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,19.0,21.0,0.0, went to their polling places.,"[51314, 1437, 281, 641, 29518, 3190, 13, 51414]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,7,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,21.0,23.0,0.0, It looks like we have a very substantial lead.,"[51414, 467, 1542, 411, 321, 362, 257, 588, 16726, 1477, 13, 51514]",0.1111111111111111,0.0,0.1111111111111111,0.0,0.566,0.434,0.5563
8,8,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,23.0,27.0,0.0, It looks like we have many more Republicans voting today than Democrats.,"[51514, 467, 1542, 411, 321, 362, 867, 544, 12017, 10419, 965, 813, 12217, 13, 51714]",0.08333333333333333,0.0,0.08333333333333333,0.0,0.815,0.185,0.3612
9,9,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,27.0,30.0,0.0," Last night, Trump spoke to supporters in Battleground, Michigan,","[50364, 5264, 1818, 11, 3899, 7179, 281, 17683, 294, 11846, 2921, 11, 11925, 11, 50514]",0.2222222222222222,0.0,0.2222222222222222,0.214,0.556,0.23,0.0516
10,10,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,30.0,32.0,0.0," pointing to the economy and the southern border,","[50514, 12166, 281, 264, 5010, 293, 264, 13456, 7838, 11, 50614]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,11,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,32.0,35.0,0.0, saying the country is going in the wrong direction.,"[50614, 1566, 264, 1941, 307, 516, 294, 264, 2085, 3513, 13, 50764]",0.0,0.1111111111111111,-0.1111111111111111,0.279,0.721,0.0,-0.4767
12,12,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,35.0,37.0,0.0, He then drifted into the dark personal attacks,"[50764, 634, 550, 19699, 292, 666, 264, 2877, 2973, 8122, 50864]",0.0,0.25,-0.25,0.293,0.707,0.0,-0.4404
13,13,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,37.0,40.0,0.0, that have laced his message in recent weeks.,"[50864, 300, 362, 287, 3839, 702, 3636, 294, 5162, 3259, 13, 51014]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,14,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,40.0,43.0,0.0," His latest target, former House Speaker Nancy Pelosi,","[51014, 2812, 6792, 3779, 11, 5819, 4928, 8454, 18154, 44145, 11, 51164]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,15,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,43.0,45.0,0.0, the first woman to hold the position.,"[51164, 264, 700, 3059, 281, 1797, 264, 2535, 13, 51264]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,16,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,45.0,48.0,0.0," She's an evil, sick, crazy.","[51264, 1240, 311, 364, 6724, 11, 4998, 11, 3219, 13, 51414]",0.0,0.0,0.0,0.835,0.165,0.0,-0.8779
17,17,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,48.0,51.0,0.0," It starts with a B, but I won't say it.","[51414, 467, 3719, 365, 257, 363, 11, 457, 286, 1582, 380, 584, 309, 13, 51564]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,18,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,51.0,53.0,0.0, I want to say it.,"[51564, 286, 528, 281, 584, 309, 13, 51664]",0.0,0.0,0.0,0.0,0.698,0.302,0.0772
19,19,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,53.0,56.0,0.0," In the 107 days since launching her campaign,","[51664, 682, 264, 1266, 22, 1708, 1670, 18354, 720, 5129, 11, 51814]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,20,-0.17699582874774933,1.625,0.18706637620925903,5600,56.0,58.0,0.0, Harris focused on access to reproductive rights,"[50364, 17426, 5178, 322, 2105, 281, 33569, 4601, 50464]",0.14285714285714285,0.0,0.14285714285714285,0.0,0.698,0.302,0.3818
21,21,-0.17699582874774933,1.625,0.18706637620925903,5600,58.0,60.0,0.0, and tax incentives for the middle class.,"[50464, 293, 3366, 23374, 337, 264, 2808, 1508, 13, 50564]",0.0,0.0,0.0,0.0,0.723,0.277,0.3182
22,22,-0.17699582874774933,1.625,0.18706637620925903,5600,60.0,62.0,0.0," In her final rally in Pennsylvania,","[50564, 682, 720, 2572, 17584, 294, 17963, 11, 50664]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,23,-0.17699582874774933,1.625,0.18706637620925903,5600,62.0,66.0,0.0," she leaned on her celebrity supporters to drive voters to the polls,","[50664, 750, 48874, 322, 720, 18597, 17683, 281, 3332, 14073, 281, 264, 24264, 11, 50864]",0.08333333333333333,0.0,0.08333333333333333,0.0,0.791,0.209,0.4404
24,24,-0.17699582874774933,1.625,0.18706637620925903,5600,66.0,69.0,0.0," from The Roots to Katy Perry, Lady Gaga, and Oprah.","[50864, 490, 440, 3101, 1971, 281, 42959, 17334, 11, 11256, 41465, 11, 293, 43804, 13, 51014]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,25,-0.17699582874774933,1.625,0.18706637620925903,5600,69.0,73.0,0.0, Harris continued her closing strategy to not mention Trump by name.,"[51014, 17426, 7014, 720, 10377, 5206, 281, 406, 2152, 3899, 538, 1315, 13, 51214]",0.09090909090909091,0.0,0.09090909090909091,0.0,1.0,0.0,0.0
26,26,-0.17699582874774933,1.625,0.18706637620925903,5600,73.0,76.0,0.0," Her campaign says she's trying to end on a positive note,","[51214, 3204, 5129, 1619, 750, 311, 1382, 281, 917, 322, 257, 3353, 3637, 11, 51364]",0.09090909090909091,0.0,0.09090909090909091,0.0,0.714,0.286,0.5574
27,27,-0.17699582874774933,1.625,0.18706637620925903,5600,76.0,80.0,0.0, as she delivered remarks on top of the so-called rocky steps in Philadelphia.,"[51364, 382, 750, 10144, 19151, 322, 1192, 295, 264, 370, 12, 11880, 33301, 4439, 294, 21205, 13, 51564]",0.07692307692307693,0.07692307692307693,0.0,0.0,0.87,0.13,0.2023
28,28,-0.17699582874774933,1.625,0.18706637620925903,5600,80.0,83.0,0.0," And here at these famous steps,","[51564, 400, 510, 412, 613, 4618, 4439, 11, 51714]",0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0
29,29,-0.18615302443504333,1.5017421245574951,0.10085819661617279,8300,84.0,88.0,0.0, a tribute to those who start as the underdog,"[50414, 257, 24722, 281, 729, 567, 722, 382, 264, 833, 14833, 50614]",0.0,0.1111111111111111,-0.1111111111111111,0.0,1.0,0.0,0.0
30,30,-0.18615302443504333,1.5017421245574951,0.10085819661617279,8300,88.0,91.0,0.0, and climb to victory.,"[50614, 293, 10724, 281, 9812, 13, 50764]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,31,-0.18615302443504333,1.5017421245574951,0.10085819661617279,8300,91.0,94.0,0.0," Tonight, Trump's campaign will be set up in West Palm Beach.","[50764, 18702, 11, 3899, 311, 5129, 486, 312, 992, 493, 294, 4055, 32668, 14866, 13, 50914]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,32,-0.18615302443504333,1.5017421245574951,0.10085819661617279,8300,94.0,98.0,0.0," Harris in Washington, D.C., at her alma mater of Howard University.","[50914, 17426, 294, 6149, 11, 413, 13, 34, 7933, 412, 720, 32634, 2389, 295, 17626, 3535, 13, 51114]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,33,-0.18615302443504333,1.5017421245574951,0.10085819661617279,8300,98.0,101.0,0.0," That's what my focus is right now today, I must admit,","[51114, 663, 311, 437, 452, 1879, 307, 558, 586, 965, 11, 286, 1633, 9796, 11, 51264]",0.09090909090909091,0.0,0.09090909090909091,0.0,0.833,0.167,0.2023
34,34,-0.18615302443504333,1.5017421245574951,0.10085819661617279,8300,101.0,106.0,0.0, which is making sure everybody knows the power of their voice through their vote.,"[51264, 597, 307, 1455, 988, 2201, 3255, 264, 1347, 295, 641, 3177, 807, 641, 4740, 13, 51514]",0.0,0.0,0.0,0.0,0.85,0.15,0.3182
35,35,-0.18615302443504333,1.5017421245574951,0.10085819661617279,8300,106.0,108.0,0.0," And Dixville Notch, New Hampshire,","[51514, 400, 413, 970, 8386, 1726, 339, 11, 1873, 35688, 11, 51614]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,36,-0.18615302443504333,1.5017421245574951,0.10085819661617279,8300,108.0,112.0,0.0," has a nearly 60-year tradition of voting in person at midnight,","[51614, 575, 257, 6217, 4060, 12, 5294, 6994, 295, 10419, 294, 954, 412, 19006, 11, 51814]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,37,-0.21984894573688507,1.1391304731369019,0.0655958279967308,11200,112.0,115.0,0.0, which all six of their registered voters did.,"[50364, 597, 439, 2309, 295, 641, 13968, 14073, 630, 13, 50514]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,38,-0.21984894573688507,1.1391304731369019,0.0655958279967308,11200,115.0,119.0,0.0," The results? Trump 3, Harris 3, a tie.","[50514, 440, 3542, 30, 3899, 805, 11, 17426, 805, 11, 257, 7582, 13, 50714]",0.125,0.0,0.125,0.0,1.0,0.0,0.0
39,39,-0.21984894573688507,1.1391304731369019,0.0655958279967308,11200,119.0,122.0,0.0," Christiane Cordero, ABC News, the White House.","[50714, 5778, 68, 40267, 2032, 11, 22342, 7987, 11, 264, 5552, 4928, 13, 50864]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
