,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_iterate,sentiment_scores,sentiment_scores_number,openai_mean_sentiment,std_sentiment,nltk_opinion_lexicon_net_z,vader_neg_z,vader_neu_z,vader_pos_z,vader_compound_z,openai_mean_sentiment_z
0,0,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,0.0,4.0,0.0," Today, millions of Americans are making their voices heard.","[50364, 2692, 11, 6803, 295, 6280, 366, 1455, 641, 9802, 2198, 13, 50564]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'Today, millions of Americans are making their voices heard.', 'sentiment_score': 8.5, 'sentiment': 'Positive'}, {'sentiment_analysis': {'text': 'Today, millions of Americans are making their voices heard.', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'Today, millions of Americans are making their voices heard.', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'Today, millions of Americans are making their voices heard.', 'sentiment_score': 7.5, 'sentiment': 'Positive'}}, {'sentiment_analysis': {'text': 'Today, millions of Americans are making their voices heard.', 'sentiment_score': 8.5, 'sentiment_label': 'Positive'}}]","[8.5, 8, 8, 7.5, 8.5]","[8.5, 8.0, 8.0, 7.5, 8.5]",0.8099999999999999,0.03741657386773941,-0.21918704802803202,-0.2759638350182394,0.5943273372005206,-0.563072563168964,-0.16491050552416095,0.988928742989143
1,1,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,4.0,7.0,0.0, What brought me to the poll today is I think my vote counts.,"[50564, 708, 3038, 385, 281, 264, 6418, 965, 307, 286, 519, 452, 4740, 14893, 13, 50714]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'What brought me to the poll today is I think my vote counts.', 'sentiment': {'score': 7, 'type': 'positive'}}, {'sentiment_analysis': {'text': 'What brought me to the poll today is I think my vote counts.', 'sentiment_score': 8}}, {'text': 'What brought me to the poll today is I think my vote counts.', 'sentiment_analysis': {'overall_sentiment': 'positive', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'What brought me to the poll today is I think my vote counts.', 'sentiment_score': 8}}, {'text': 'What brought me to the poll today is I think my vote counts.', 'sentiment_analysis': {'overall_sentiment': 'positive', 'sentiment_score': 8}}]","[7, 8, 8, 8, 8]","[7.0, 8.0, 8.0, 8.0, 8.0]",0.78,0.039999999999999994,-0.21918704802803202,-0.2759638350182394,0.5943273372005206,-0.563072563168964,-0.16491050552416095,0.8192157479325801
2,2,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,7.0,10.0,0.0," Joining the tens of millions of people who cast their ballots early,","[50714, 40229, 264, 10688, 295, 6803, 295, 561, 567, 4193, 641, 36410, 2440, 11, 50864]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'Joining the tens of millions of people who cast their ballots early', 'sentiment_score': 7.8, 'sentiment': 'Positive'}}, {'text': 'Joining the tens of millions of people who cast their ballots early.', 'sentiment_score': 8.5, 'sentiment_type': 'Positive'}, {'text': 'Joining the tens of millions of people who cast their ballots early', 'sentiment_analysis': {'score': 7.5, 'sentiment': 'positive'}}, {'sentiment_analysis': {'text': 'Joining the tens of millions of people who cast their ballots early', 'sentiment_score': 8}}, {'text': 'Joining the tens of millions of people who cast their ballots early', 'sentiment_score': 8}]","[7.8, 8.5, 7.5, 8, 8]","[7.8, 8.5, 7.5, 8.0, 8.0]",0.7959999999999999,0.032619012860600184,-0.21918704802803202,-0.2759638350182394,0.5943273372005206,-0.563072563168964,-0.16491050552416095,0.9097293452960801
3,3,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,10.0,13.0,0.0, Vice President Harris said she mailed her ballot in,"[50864, 13276, 3117, 17426, 848, 750, 463, 7292, 720, 21880, 294, 51014]",0.0,0.1111111111111111,-0.1111111111111111,0.0,1.0,0.0,0.0,"[{'text': 'Vice President Harris said she mailed her ballot in', 'sentiment_score': 8, 'sentiment': 'Positive'}, {'text': 'Vice President Harris said she mailed her ballot in', 'sentiment_score': 7}, {'text': 'Vice President Harris said she mailed her ballot in', 'sentiment_analysis': {'overall_score': 7.5, 'sentences': [{'sentence': 'Vice President Harris said she mailed her ballot in', 'score': 7.5}]}}, {'sentiment_analysis': {'text': 'Vice President Harris said she mailed her ballot in', 'sentiment_score': 7.5, 'sentiment_type': 'Neutral'}}, {'text': 'Vice President Harris said she mailed her ballot in', 'sentiment_score': 7}]","[8, 7, None, 7.5, 7]","[8.0, 7.0, 7.5, 7.0]",0.7375,0.041457809879442496,-1.5819851462896288,-0.2759638350182394,0.5943273372005206,-0.563072563168964,-0.16491050552416095,0.5787890049357819
4,4,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,13.0,16.0,0.0, as running mate Tim Walz voted early in person.,"[51014, 382, 2614, 11709, 7172, 9707, 89, 13415, 2440, 294, 954, 13, 51164]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'running mate Tim Walz voted early in person', 'sentiment_score': 7}}, {'text': 'Running mate Tim Walz voted early in person.', 'sentiment_analysis': {'score': 7.5, 'sentiment': 'Positive', 'details': 'The text indicates a positive sentiment as it showcases proactive behavior (early voting) reflecting good practice and responsibility.'}}, {'text': 'running mate Tim Walz voted early in person.', 'sentiment': {'overall_score': 7.5, 'positive_score': 0.8, 'negative_score': 0.2, 'neutral_score': 0.0}}, {'text': 'running mate Tim Walz voted early in person.', 'sentiment_score': 8, 'sentiment': 'Positive'}, {'text': 'running mate Tim Walz voted early in person.', 'sentiment': {'score': 7, 'interpreted_score': 'Positive'}}]","[7, 7.5, 7.5, 8, 7]","[7.0, 7.5, 7.5, 8.0, 7.0]",0.74,0.03741657386773941,-0.21918704802803202,-0.2759638350182394,0.5943273372005206,-0.563072563168964,-0.16491050552416095,0.5929317545238286
5,5,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,16.0,19.0,0.0," And today, former President Trump and his running mate J.D. Vance","[51164, 400, 965, 11, 5819, 3117, 3899, 293, 702, 2614, 11709, 508, 13, 35, 13, 691, 719, 51314]",0.09090909090909091,0.0,0.09090909090909091,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'And today, former President Trump and his running mate J.D. Vance', 'sentiment_score': 4.5, 'sentiment_rating': 'Neutral'}}, {'sentiment_analysis': {'text': 'And today, former President Trump and his running mate J.D. Vance', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'And today, former President Trump and his running mate J.D. Vance', 'sentiment_score': 4.5, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'And today, former President Trump and his running mate J.D. Vance', 'sentiment_score': 3, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'And today, former President Trump and his running mate J.D. Vance', 'sentiment_score': 5.8, 'sentiment': 'Neutral'}}]","[4.5, 7, 4.5, 3, 5.8]","[4.5, 7.0, 4.5, 3.0, 5.8]",0.496,0.1351443672522092,0.8958295778223655,-0.2759638350182394,0.5943273372005206,-0.563072563168964,-0.16491050552416095,-0.7874006052695542
6,6,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,19.0,21.0,0.0, went to their polling places.,"[51314, 1437, 281, 641, 29518, 3190, 13, 51414]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'went to their polling places.', 'sentiment': {'score': 6, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'went to their polling places.', 'sentiment_score': 4}}, {'text': 'went to their polling places.', 'sentiment_score': 7}, {'sentiment_analysis': {'text': 'went to their polling places.', 'sentiment_score': 5}}, {'text': 'went to their polling places.', 'sentiment': {'score': 7, 'label': 'Positive'}}]","[6, 4, 7, 5, 7]","[6.0, 4.0, 7.0, 5.0, 7.0]",0.58,0.116619037896906,-0.21918704802803202,-0.2759638350182394,0.5943273372005206,-0.563072563168964,-0.16491050552416095,-0.3122042191111768
7,7,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,21.0,23.0,0.0, It looks like we have a very substantial lead.,"[51414, 467, 1542, 411, 321, 362, 257, 588, 16726, 1477, 13, 51514]",0.1111111111111111,0.0,0.1111111111111111,0.0,0.566,0.434,0.5563,"[{'text': 'It looks like we have a very substantial lead.', 'sentiment_score': 9.2, 'sentiment': 'Positive'}, {'text': 'It looks like we have a very substantial lead.', 'sentiment': {'score': 8, 'label': 'Positive'}}, {'text': 'It looks like we have a very substantial lead.', 'sentiment': {'score': 8, 'label': 'Positive'}}, {'text': 'It looks like we have a very substantial lead.', 'sentiment': {'overall_sentiment': 'positive', 'score': 9}}, {'sentiment_analysis': {'text': 'It looks like we have a very substantial lead.', 'sentiment_score': 8}}]","[9.2, 8, 8, 9, 8]","[9.2, 8.0, 8.0, 9.0, 8.0]",0.8440000000000001,0.05425863986500212,1.1436110502335648,-0.2759638350182394,-1.8090089250405783,3.09521325143179,2.0299507714204106,1.1812701373865824
8,8,-0.2211988866329193,1.7118643522262573,0.08628746122121811,0,23.0,27.0,0.0, It looks like we have many more Republicans voting today than Democrats.,"[51514, 467, 1542, 411, 321, 362, 867, 544, 12017, 10419, 965, 813, 12217, 13, 51714]",0.08333333333333333,0.0,0.08333333333333333,0.0,0.815,0.185,0.3612,"[{'text': 'It looks like we have many more Republicans voting today than Democrats.', 'sentiment': {'overall_sentiment': 'negative', 'sentiment_score': 4.5}}, {'text': 'It looks like we have many more Republicans voting today than Democrats.', 'sentiment': {'polarity': 'negative', 'confidence': 0.7}, 'sentiment_score': 3}, {'text': 'It looks like we have many more Republicans voting today than Democrats.', 'sentiment_analysis': {'overall_sentiment': 3, 'sentences': [{'sentence': 'It looks like we have many more Republicans voting today than Democrats.', 'sentiment': 3}]}}, {'text': 'It looks like we have many more Republicans voting today than Democrats.', 'sentiment': {'polarity': 'negative', 'subjectivity': 'objective', 'confidence': '7.5'}}, {'text': 'It looks like we have many more Republicans voting today than Democrats.', 'sentiment': {'polarity': 'negative', 'confidence': 0.8}}]","[4.5, 3, 3, None, None]","[4.5, 3.0, 3.0]",0.35,0.07071067811865475,0.8029115256681657,-0.2759638350182394,-0.43013627688842726,0.9963349845295142,1.260190866455669,-1.6133371812114967
9,9,-0.17593033611774445,1.5516128540039062,0.03409581258893013,2700,27.0,30.0,0.0," Last night, Trump spoke to supporters in Battleground, Michigan,","[50364, 5264, 1818, 11, 3899, 7179, 281, 17683, 294, 11846, 2921, 11, 11925, 11, 50514]",0.2222222222222222,0.0,0.2222222222222222,0.214,0.556,0.23,0.0516,"[{'text': 'Last night, Trump spoke to supporters in Battleground, Michigan.', 'sentiment': {'score': 3, 'sentiment': 'Neutral'}}, {'text': 'Last night, Trump spoke to supporters in Battleground, Michigan.', 'sentiment': {'score': 6.8, 'sentiment': 'Positive'}}, {'text': 'Last night, Trump spoke to supporters in Battleground, Michigan.', 'sentiment_analysis': {'score': 3, 'message': 'Neutral'}}, {'sentiment_analysis': {'text': 'Last night, Trump spoke to supporters in Battleground, Michigan.', 'sentiment_score': 6.5, 'sentiment': 'Neutral'}}, {'text': 'Last night, Trump spoke to supporters in Battleground, Michigan.', 'sentiment': {'overall_score': 5, 'positive_score': 6, 'negative_score': 4, 'neutral_score': 5}}]","[3, 6.8, 3, 6.5, 5.0]","[3.0, 6.8, 3.0, 6.5, 5.0]",0.48600000000000004,0.16365818036383026,2.5064091484951616,1.181315885991094,-1.8643853366129532,1.3756503339696846,0.03867540475867187,-0.8439716036217418
