,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,-0.502539873123169,1.7647058963775635,0.0358283594250679,0,0.0,16.0,0.0," We're not going back, we're not going back, we're not going back, we're not going back.","[50364, 492, 434, 406, 516, 646, 11, 321, 434, 406, 516, 646, 11, 321, 434, 406, 516, 646, 11, 321, 434, 406, 516, 4773, 547, 13, 51164]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,-0.502539873123169,1.7647058963775635,0.0358283594250679,0,16.0,20.0,0.0," Hello, beautiful, beautiful North Carolina.","[51164, 2425, 11, 2238, 11, 2238, 4067, 11480, 13, 51364]",0.2,0.0,0.2,0.0,0.278,0.722,0.8316
2,2,-0.502539873123169,1.7647058963775635,0.0358283594250679,0,20.0,24.0,0.0, Here's my only purpose in even being here today.,"[51364, 1692, 311, 452, 787, 4334, 294, 754, 885, 510, 965, 13, 51564]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,24.0,32.0,0.0," Get out and vote, you know that.","[50364, 3240, 484, 293, 4740, 11, 291, 458, 300, 13, 50764]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,4,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,32.0,35.0,0.0, But now we have a new president in Mexico.,"[50764, 583, 586, 321, 362, 257, 777, 3868, 294, 8612, 13, 50914]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,5,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,35.0,38.0,0.0," I suppose a very, very nice woman.","[50914, 286, 7297, 257, 588, 11, 588, 1481, 3059, 13, 51064]",0.14285714285714285,0.0,0.14285714285714285,0.0,0.543,0.457,0.5222
6,6,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,38.0,40.0,0.0, They say I haven't met her.,"[51064, 814, 584, 286, 2378, 380, 1131, 720, 13, 51164]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,7,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,40.0,48.0,0.0, And I'm going to inform her on day one or sooner that if they don't stop this onslaught,"[51164, 400, 286, 478, 516, 281, 1356, 720, 322, 786, 472, 420, 15324, 300, 498, 436, 500, 380, 1590, 341, 18818, 875, 1599, 51564]",0.0,0.05555555555555555,-0.05555555555555555,0.0,0.9,0.1,0.2235
8,8,-0.20086808502674103,1.381818175315857,0.12578707933425903,4800,48.0,58.0,0.0," of criminals and drugs coming into our country, I'm going to immediately impose a 25% tariff","[50364, 295, 23474, 293, 7766, 1348, 666, 527, 1941, 11, 286, 478, 516, 281, 4258, 26952, 257, 3552, 4, 3112, 3661, 50864]",0.0,0.125,-0.125,0.312,0.688,0.0,-0.7096
9,9,-0.20086808502674103,1.381818175315857,0.12578707933425903,4800,58.0,69.0,0.0, on everything they send in to the United States of America.,"[50864, 322, 1203, 436, 2845, 294, 281, 264, 2824, 3040, 295, 3374, 13, 51414]",0.0,0.0,0.0,0.0,0.781,0.219,0.4215
10,10,-0.20086808502674103,1.381818175315857,0.12578707933425903,4800,69.0,72.0,0.0, My message to Americans tonight is simple.,"[51414, 1222, 3636, 281, 6280, 4440, 307, 2199, 13, 51564]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,11,-0.20086808502674103,1.381818175315857,0.12578707933425903,4800,72.0,75.0,0.0, We do not have to live this way.,"[51564, 492, 360, 406, 362, 281, 1621, 341, 636, 13, 51714]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,12,-0.19904911518096924,1.529411792755127,0.029750291258096695,7500,75.0,81.0,0.0," We don't, we don't, and we won't, we won't.","[50364, 492, 500, 380, 11, 321, 500, 380, 11, 293, 321, 1582, 380, 11, 321, 1582, 380, 13, 50664]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,13,-0.19904911518096924,1.529411792755127,0.029750291258096695,7500,81.0,86.0,0.0," We do not have to settle for weakness and competence, decline and decay.","[50664, 492, 360, 406, 362, 281, 11852, 337, 12772, 293, 39965, 11, 15635, 293, 21039, 13, 50914]",0.0,0.15384615384615385,-0.15384615384615385,0.333,0.667,0.0,-0.6705
14,14,-0.19904911518096924,1.529411792755127,0.029750291258096695,7500,86.0,95.0,0.0," With your vote tomorrow, we can fix every single problem our country faces and lead America","[50914, 2022, 428, 4740, 4153, 11, 321, 393, 3191, 633, 2167, 1154, 527, 1941, 8475, 293, 1477, 3374, 51364]",0.0625,0.0625,0.0,0.153,0.847,0.0,-0.4019
15,15,-0.19904911518096924,1.529411792755127,0.029750291258096695,7500,95.0,100.0,0.0, and indeed the whole world to new heights of glory.,"[51364, 293, 6451, 264, 1379, 1002, 281, 777, 25930, 295, 11924, 13, 51614]",0.0,0.0,0.0,0.0,0.72,0.28,0.5423
16,16,-0.19254262745380402,1.3771929740905762,0.12575462460517883,10000,100.0,105.0,0.0, We're going to win the Commonwealth of Pennsylvania.,"[50364, 492, 434, 516, 281, 1942, 264, 35295, 295, 17963, 13, 50614]",0.125,0.0,0.125,0.0,0.648,0.352,0.5859
17,17,-0.19254262745380402,1.3771929740905762,0.12575462460517883,10000,105.0,113.0,0.0, And it's going to be over.,"[50614, 400, 309, 311, 516, 281, 312, 670, 13, 51014]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,18,-0.19254262745380402,1.3771929740905762,0.12575462460517883,10000,113.0,117.0,0.0, Are we ready to do this?,"[51014, 2014, 321, 1919, 281, 360, 341, 30, 51214]",0.16666666666666666,0.0,0.16666666666666666,0.0,0.667,0.333,0.3612
19,19,-0.19254262745380402,1.3771929740905762,0.12575462460517883,10000,117.0,120.0,0.0, We're ready to get out the vote.,"[51214, 492, 434, 1919, 281, 483, 484, 264, 4740, 13, 51364]",0.14285714285714285,0.0,0.14285714285714285,0.0,0.706,0.294,0.3612
20,20,-0.19254262745380402,1.3771929740905762,0.12575462460517883,10000,120.0,127.0,0.0, We're ready to win.,"[51364, 492, 434, 1919, 281, 1942, 13, 51714]",0.25,0.0,0.25,0.0,0.241,0.759,0.743
21,21,-0.18803510069847107,1.6273292303085327,0.23054005205631256,12700,127.0,132.0,0.0," I stand here proud of my longstanding commitment to Puerto Rico and her people,","[50364, 286, 1463, 510, 4570, 295, 452, 938, 8618, 8371, 281, 21472, 22643, 293, 720, 561, 11, 50614]",0.14285714285714285,0.0,0.14285714285714285,0.0,0.659,0.341,0.6908
22,22,-0.18803510069847107,1.6273292303085327,0.23054005205631256,12700,132.0,137.0,0.0, and I will be a president for all Americans.,"[50614, 293, 286, 486, 312, 257, 3868, 337, 439, 6280, 13, 50864]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,23,-0.18803510069847107,1.6273292303085327,0.23054005205631256,12700,137.0,144.0,0.0, All Americans.,"[50864, 1057, 6280, 13, 51214]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,24,-0.18803510069847107,1.6273292303085327,0.23054005205631256,12700,144.0,146.0,0.0," All right, so Pittsburgh, this is it.","[51214, 1057, 558, 11, 370, 33626, 11, 341, 307, 309, 13, 51314]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,25,-0.18803510069847107,1.6273292303085327,0.23054005205631256,12700,146.0,148.0,0.0, Tomorrow is election day.,"[51314, 17499, 307, 6618, 786, 13, 51414]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,26,-0.18803510069847107,1.6273292303085327,0.23054005205631256,12700,148.0,151.0,0.0, Tomorrow is election day.,"[51414, 17499, 307, 6618, 786, 13, 51564]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,27,-0.18803510069847107,1.6273292303085327,0.23054005205631256,12700,151.0,155.0,0.0, And the momentum is on our side.,"[51564, 400, 264, 11244, 307, 322, 527, 1252, 13, 51764]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,28,-0.21273170411586761,1.4015151262283325,0.05338246002793312,15500,155.0,163.0,0.0," And let us remind everyone, your vote is your voice, and your voice is your power.","[50364, 400, 718, 505, 4160, 1518, 11, 428, 4740, 307, 428, 3177, 11, 293, 428, 3177, 307, 428, 1347, 13, 50764]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,29,-0.21273170411586761,1.4015151262283325,0.05338246002793312,15500,163.0,174.0,0.0, I am here with 10 first-time voters for Philadelphia.,"[50764, 286, 669, 510, 365, 1266, 700, 12, 3766, 14073, 337, 21205, 13, 51314]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,30,-0.21273170411586761,1.4015151262283325,0.05338246002793312,15500,174.0,179.0,0.0," Every single vote, every one is going to matter.","[51314, 2048, 2167, 4740, 11, 633, 472, 307, 516, 281, 1871, 13, 51564]",0.0,0.0,0.0,0.0,0.879,0.121,0.0258
