,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,sentiment_iterate,sentiment_scores,sentiment_scores_number,openai_mean_sentiment,std_sentiment,nltk_opinion_lexicon_net,nltk_opinion_lexicon_net_z,vader_neg,vader_neg_z,vader_neu,vader_neu_z,vader_pos,vader_pos_z,vader_compound,vader_compound_z,openai_mean_sentiment_z
0,0,-0.2996976971626282,1.5547945499420166,0.007009925786405802,0,0.0,6.28000020980835,0.0, The Wall Street Journal also found that managed ESG funds cost five to 15 times,"[50364, 440, 9551, 7638, 16936, 611, 1352, 300, 6453, 12564, 38, 8271, 2063, 1732, 281, 2119, 1413, 50678]","[{'sentiment_analysis': {'text': 'The Wall Street Journal also found that managed ESG funds cost five to 15 times', 'sentiment_score': 7.8, 'sentiment': 'Positive'}}, {'text': 'The Wall Street Journal also found that managed ESG funds cost five to 15 times', 'sentiment': {'overall_sentiment': 'neutral', 'score': 5}}, {'sentiment_analysis': {'text': 'The Wall Street Journal also found that managed ESG funds cost five to 15 times', 'sentiment_score': 6.8, 'sentiment_category': 'Positive'}}, {'sentiment_analysis': {'text': 'The Wall Street Journal also found that managed ESG funds cost five to 15 times', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'The Wall Street Journal also found that managed ESG funds cost five to 15 times', 'sentiment_score': 7}}]",[],[],,,0,,0,,0,,0,,0,,
1,1,-0.2996976971626282,1.5547945499420166,0.007009925786405802,0,6.28000020980835,10.920000076293945,0.0, as much in fees when compared to an index fund.,"[50678, 382, 709, 294, 13370, 562, 5347, 281, 364, 8186, 2374, 13, 50910]","[{'sentiment_analysis': {'text': 'as much in fees when compared to an index fund.', 'score': 6.5, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'as much in fees when compared to an index fund.', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': 'as much in fees when compared to an index fund.', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'as much in fees when compared to an index fund.', 'sentiment_score': 6}}, {'sentiment_analysis': {'text': 'as much in fees when compared to an index fund.', 'sentiment_score': 7}}]",[],[],,,0,,0,,0,,0,,0,,
2,2,-0.2996976971626282,1.5547945499420166,0.007009925786405802,0,11.039999961853027,15.800000190734863,0.0," Mir Statman, a professor of finance at Santa Clara University in California,","[50916, 9421, 16249, 1601, 11, 257, 8304, 295, 10719, 412, 9933, 32048, 3535, 294, 5384, 11, 51154]","[{'sentiment_analysis': {'text': 'Mir Statman, a professor of finance at Santa Clara University in California', 'sentiment_score': 8}}, {'sentiment_analysis': {'text': 'Mir Statman, a professor of finance at Santa Clara University in California', 'sentiment_score': 7.5}}, {'sentiment_analysis': {'text': 'Mir Statman, a professor of finance at Santa Clara University in California', 'sentiment_score': 7.5}}, {'sentiment_analysis': {'text': 'Mir Statman, a professor of finance at Santa Clara University in California', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'Mir Statman, a professor of finance at Santa Clara University in California', 'sentiment_score': 7}}]",[],[],,,0,,0,,0,,0,,0,,
3,3,-0.2996976971626282,1.5547945499420166,0.007009925786405802,0,15.800000190734863,20.15999984741211,0.0," concluded the same thing, that socially responsible funds tend to have higher","[51154, 22960, 264, 912, 551, 11, 300, 21397, 6250, 8271, 3928, 281, 362, 2946, 51372]","[{'text': 'concluded the same thing, that socially responsible funds tend to have higher', 'sentiment_analysis': {'overall_sentiment': 7}}, {'sentiment_analysis': {'text': 'concluded the same thing, that socially responsible funds tend to have higher', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'concluded the same thing, that socially responsible funds tend to have higher', 'sentiment_score': 7.5, 'sentiment_category': 'Positive'}}, {'sentiment_analysis': {'text': 'concluded the same thing, that socially responsible funds tend to have higher', 'sentiment_score': 8.5, 'sentiment': 'Positive'}}, {'sentiment_analysis': {'text': 'concluded the same thing, that socially responsible funds tend to have higher', 'sentiment_score': 7}}]",[],[],,,0,,0,,0,,0,,0,,
4,4,-0.2996976971626282,1.5547945499420166,0.007009925786405802,0,20.15999984741211,23.8799991607666,0.0," annual fees, so their returns are likely to lag behind over time.","[51372, 9784, 13370, 11, 370, 641, 11247, 366, 3700, 281, 8953, 2261, 670, 565, 13, 51558]","[{'text': 'annual fees, so their returns are likely to lag behind over time.', 'sentiment': {'overall_sentiment': 'negative', 'sentiment_score': 3}}, {'text': 'annual fees, so their returns are likely to lag behind over time.', 'sentiment': {'overall_score': -0.4, 'sentences': [{'text': 'annual fees', 'score': -0.2}, {'text': 'their returns are likely to lag behind over time', 'score': -0.6}]}}, {'text': 'annual fees, so their returns are likely to lag behind over time.', 'sentiment_analysis': {'score': -4, 'sentiment': 'negative'}}, {'sentiment_analysis': {'text': 'annual fees, so their returns are likely to lag behind over time.', 'sentiment_score': 3.2, 'sentiment_label': 'Negative'}}, {'sentiment_analysis': {'text': 'annual fees, so their returns are likely to lag behind over time', 'sentiment_score': 3.5, 'sentiment_label': 'Negative'}}]",[],[],,,0,,0,,0,,0,,0,,
5,5,-0.2996976971626282,1.5547945499420166,0.007009925786405802,0,23.959999084472656,25.040000915527344,0.0, And that's a huge issue.,"[51562, 400, 300, 311, 257, 2603, 2734, 13, 51616]","[{'sentiment_analysis': {'text': ""And that's a huge issue."", 'sentiment_score': 2}}, {'sentiment_analysis': {'text': ""And that's a huge issue."", 'sentiment_score': 1}}, {'text': ""And that's a huge issue."", 'sentiment': {'score': 1, 'interpretation': 'Negative'}}, {'sentiment_analysis': {'text': ""And that's a huge issue."", 'sentiment_score': 1}}, {'sentiment_analysis': {'text': ""And that's a huge issue."", 'sentiment_score': 1}}]",[],[],,,0,,0,,0,,0,,0,,
6,6,-0.2996976971626282,1.5547945499420166,0.007009925786405802,0,25.040000915527344,29.84000015258789,0.0, And one more 401k investors need to be aware of because fees eat away over time.,"[51616, 400, 472, 544, 37510, 74, 11519, 643, 281, 312, 3650, 295, 570, 13370, 1862, 1314, 670, 565, 13, 51856]","[{'text': 'And one more 401k investors need to be aware of because fees eat away over time.', 'sentiment_analysis': {'score': -0.5, 'sentiment': 'negative'}}, {'sentiment_analysis': {'text': '401k investors need to be aware of because fees eat away over time.', 'sentiment_score': 3, 'sentiment': 'Negative'}}, {'text': 'And one more 401k investors need to be aware of because fees eat away over time.', 'sentiment': {'score': -0.5, 'magnitude': 1.3}}, {'sentiment_analysis': {'text': '401k investors need to be aware of because fees eat away over time.', 'sentiment_score': 3}}, {'sentiment_analysis': {'text': '401k investors need to be aware of because fees eat away over time.', 'sentiment_score': 4}}]",[],[],,,0,,0,,0,,0,,0,,
7,7,-0.2698787450790405,1.3529411554336548,0.02475525438785553,3000,30.040000915527344,34.47999954223633,0.0," At our retirement savings, which can impact your long-term retirement income.","[50366, 1711, 527, 15189, 13454, 11, 597, 393, 2712, 428, 938, 12, 7039, 15189, 5742, 13, 50588]","[{'sentiment_analysis': {'text': 'At our retirement savings, which can impact your long-term retirement income.', 'sentiment_score': 6.8, 'sentiment': 'Neutral'}}, {'text': 'At our retirement savings, which can impact your long-term retirement income.', 'sentiment': {'overall': 6, 'positive': 4, 'negative': 2}}, {'sentiment_analysis': {'text': 'At our retirement savings, which can impact your long-term retirement income.', 'sentiment_score': 6}}, {'sentiment_analysis': {'text': 'At our retirement savings, which can impact your long-term retirement income.', 'sentiment_score': 5.6, 'sentiment': 'Neutral'}}, {'sentiment_analysis': {'text': 'At our retirement savings, which can impact your long-term retirement income.', 'sentiment_score': 3}}]",[],[],,,0,,0,,0,,0,,0,,
8,8,-0.2698787450790405,1.3529411554336548,0.02475525438785553,3000,35.31999969482422,40.040000915527344,0.0," It doesn't matter if we're talking ESG funds or target day funds, investors","[50630, 467, 1177, 380, 1871, 498, 321, 434, 1417, 12564, 38, 8271, 420, 3779, 786, 8271, 11, 11519, 50866]","[{'sentiment_analysis': {'text': ""It doesn't matter if we're talking ESG funds or target day funds, investors"", 'sentiment_score': 6}}, {'sentiment_analysis': {'text': ""It doesn't matter if we're talking ESG funds or target day funds, investors"", 'sentiment_score': 7}}, {'text': ""It doesn't matter if we're talking ESG funds or target day funds, investors"", 'sentiment': {'overall_score': 6.5, 'sentences': [{'text': ""It doesn't matter if we're talking ESG funds or target day funds"", 'score': 7}, {'text': 'investors', 'score': 6}]}}, {'sentiment_analysis': {'text': ""It doesn't matter if we're talking ESG funds or target day funds, investors"", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""It doesn't matter if we're talking ESG funds or target day funds, investors"", 'sentiment_score': 6.5, 'sentiment': 'Neutral'}}]",[],[],,,0,,0,,0,,0,,0,,
9,9,-0.2698787450790405,1.3529411554336548,0.02475525438785553,3000,40.040000915527344,43.2400016784668,0.0," need to know how much they're paying in fees, period.","[50866, 643, 281, 458, 577, 709, 436, 434, 6229, 294, 13370, 11, 2896, 13, 51026]","[{'text': ""need to know how much they're paying in fees, period."", 'sentiment_score': 7}, {'sentiment_analysis': {'text': ""need to know how much they're paying in fees, period."", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""need to know how much they're paying in fees, period."", 'sentiment_score': 3, 'sentiment': 'Neutral'}}, {'text': ""need to know how much they're paying in fees, period."", 'sentiment': {'polarity': 'neutral', 'score': 5}}, {'sentiment_analysis': {'text': ""need to know how much they're paying in fees, period."", 'sentiment_score': 5}}]",[7.0],[7.0],0.7,0.0,0,,0,,0,,0,,0,,
