,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound,sentiment_iterate,sentiment_scores,sentiment_scores_number,openai_mean_sentiment,std_sentiment,nltk_opinion_lexicon_net_z,vader_neg_z,vader_neu_z,vader_pos_z,vader_compound_z,openai_mean_sentiment_z
0,0,-0.502539873123169,1.7647058963775635,0.0358283594250679,0,0.0,16.0,0.0," We're not going back, we're not going back, we're not going back, we're not going back.","[50364, 492, 434, 406, 516, 646, 11, 321, 434, 406, 516, 646, 11, 321, 434, 406, 516, 646, 11, 321, 434, 406, 516, 4773, 547, 13, 51164]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': ""We're not going back, we're not going back, we're not going back, we're not going back."", 'sentiment_score': 1}}, {'text': ""We're not going back, we're not going back, we're not going back, we're not going back."", 'sentiment_analysis': {'sentiment_score': 1, 'sentiment_label': 'Negative'}}, {'text': ""We're not going back, we're not going back, we're not going back, we're not going back."", 'sentiment': {'overall_sentiment': 'negative', 'scores': {'positive': 0, 'neutral': 0, 'negative': 1}}}, {'text': ""We're not going back, we're not going back, we're not going back, we're not going back."", 'sentiment': {'overall_score': -4, 'positive': 0, 'negative': 4, 'neutral': 0}}, {'sentiment_analysis': {'text': ""We're not going back, we're not going back, we're not going back, we're not going back."", 'sentiment_score': 1}}]","[1, 1, None, 0, 1]","[1.0, 1.0, 0.0, 1.0]",0.075,0.04330127018922193,-0.3412318812653685,-0.2794528544844421,0.7386933249365947,-0.6348171152442019,-0.40213146279304646,-2.1990307866397254
1,1,-0.502539873123169,1.7647058963775635,0.0358283594250679,0,16.0,20.0,0.0," Hello, beautiful, beautiful North Carolina.","[51164, 2425, 11, 2238, 11, 2238, 4067, 11480, 13, 51364]",0.2,0.0,0.2,0.0,0.278,0.722,0.8316,"[{'sentiment_analysis': {'text': 'Hello, beautiful, beautiful North Carolina.', 'sentiment_score': 8}}, {'text': 'Hello, beautiful, beautiful North Carolina.', 'sentiment_analysis': {'overall_score': 8, 'sentences': [{'text': 'Hello, beautiful, beautiful North Carolina.', 'score': 8}]}}, {'sentiment_analysis': {'text': 'Hello, beautiful, beautiful North Carolina.', 'sentiment_score': 9}}, {'text': 'Hello, beautiful, beautiful North Carolina.', 'sentiment': {'overall_score': 8.5, 'sentences': [{'text': 'Hello, beautiful, beautiful North Carolina.', 'score': 9.0}]}}, {'text': 'Hello, beautiful, beautiful North Carolina.', 'sentiment_score': 8}]","[8, None, 9, 8.5, 8]","[8.0, 9.0, 8.5, 8.0]",0.8375,0.041457809879442496,2.0745965628639382,-0.2794528544844421,-2.7952345909581373,2.9085394281393353,1.9510499915292003,0.680742622927053
2,2,-0.502539873123169,1.7647058963775635,0.0358283594250679,0,20.0,24.0,0.0, Here's my only purpose in even being here today.,"[51364, 1692, 311, 452, 787, 4334, 294, 754, 885, 510, 965, 13, 51564]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': ""Here's my only purpose in even being here today."", 'sentiment': {'score': 8}}, {'text': ""Here's my only purpose in even being here today."", 'sentiment': {'polarity': 'positive', 'confidence': 0.8}}, {'sentiment_analysis': {'text': ""Here's my only purpose in even being here today."", 'sentiment_score': 7}}, {'sentiment_analysis': {'text': ""Here's my only purpose in even being here today."", 'sentiment_score': 8}}, {'sentiment_analysis': {'text': ""Here's my only purpose in even being here today."", 'sentiment_score': 8}}]","[8, None, 7, 8, 8]","[8.0, 7.0, 8.0, 8.0]",0.775,0.04330127018922193,-0.3412318812653685,-0.2794528544844421,0.7386933249365947,-0.6348171152442019,-0.40213146279304646,0.4446956221428908
3,3,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,24.0,32.0,0.0," Get out and vote, you know that.","[50364, 3240, 484, 293, 4740, 11, 291, 458, 300, 13, 50764]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'text': 'Get out and vote, you know that.', 'sentiment_score': 8}, {'text': 'Get out and vote, you know that.', 'sentiment_analysis': {'score': 8, 'sentiment': 'positive'}}, {'text': 'Get out and vote, you know that.', 'sentiment': {'score': 8}}, {'text': 'Get out and vote, you know that.', 'sentiment': {'overall_sentiment': 'Positive', 'sentiment_score': 9}}, {'text': 'Get out and vote, you know that.', 'sentiment_analysis': {'polarity': 'positive', 'score': 8}}]","[8, 8, 8, 9, 8]","[8.0, 8.0, 8.0, 9.0, 8.0]",0.82,0.039999999999999994,-0.3412318812653685,-0.2794528544844421,0.7386933249365947,-0.6348171152442019,-0.40213146279304646,0.6146494627074873
4,4,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,32.0,35.0,0.0, But now we have a new president in Mexico.,"[50764, 583, 586, 321, 362, 257, 777, 3868, 294, 8612, 13, 50914]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': 'But now we have a new president in Mexico.', 'sentiment_score': 7}}, {'text': 'But now we have a new president in Mexico.', 'sentiment_analysis': {'score': 7, 'sentiment': 'Positive'}}, {'text': 'But now we have a new president in Mexico.', 'sentiment_analysis': {'score': 7, 'sentiment': 'Positive'}}, {'text': 'But now we have a new president in Mexico.', 'sentiment_analysis': {'score': 8, 'sentiment': 'positive'}}, {'text': 'But now we have a new president in Mexico.', 'sentiment': {'score': 7, 'sentiment': 'Positive'}}]","[7, 7, 7, 8, 7]","[7.0, 7.0, 7.0, 8.0, 7.0]",0.72,0.039999999999999994,-0.3412318812653685,-0.2794528544844421,0.7386933249365947,-0.6348171152442019,-0.40213146279304646,0.23697426145282796
5,5,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,35.0,38.0,0.0," I suppose a very, very nice woman.","[50914, 286, 7297, 257, 588, 11, 588, 1481, 3059, 13, 51064]",0.14285714285714285,0.0,0.14285714285714285,0.0,0.543,0.457,0.5222,"[{'text': 'I suppose a very, very nice woman.', 'sentiment_analysis': {'score': 8, 'sentiment': 'positive'}}, {'sentiment_analysis': {'text': 'I suppose a very, very nice woman.', 'sentiment_score': 8.5, 'sentiments': {'positive': 0.85, 'negative': 0.15}}}, {'sentiment_analysis': {'text': 'I suppose a very, very nice woman.', 'sentiment_score': 8}}, {'text': 'I suppose a very, very nice woman.', 'sentiment': {'overall_score': 9.5, 'positive_score': 0.9, 'negative_score': 0.1}}, {'text': 'I suppose a very, very nice woman.', 'sentiment': {'score': 8}}]","[8, 8.5, 8, 9.5, 8]","[8.0, 8.5, 8.0, 9.5, 8.0]",0.8400000000000001,0.05830951894845301,1.384359864541279,-0.2794528544844421,-1.4981557852627025,1.607999976620447,1.0755397198032466,0.6901845029584197
6,6,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,38.0,40.0,0.0, They say I haven't met her.,"[51064, 814, 584, 286, 2378, 380, 1131, 720, 13, 51164]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{'sentiment_analysis': {'text': ""They say I haven't met her."", 'sentiment_score': 4}}, {'text': ""They say I haven't met her."", 'sentiment_score': 6, 'sentiment': 'Neutral'}, {'sentiment_analysis': {'text': ""They say I haven't met her."", 'sentiment_score': 3}}, {'sentiment_analysis': {'text': ""They say I haven't met her."", 'score': 3}}, {'text': ""They say I haven't met her."", 'sentiment_analysis': {'overall_score': 6, 'sentences': [{'sentence': ""They say I haven't met her."", 'score': 6}]}}]","[4, 6, 3, 3, None]","[4.0, 6.0, 3.0, 3.0]",0.4,0.1224744871391589,-0.3412318812653685,-0.2794528544844421,0.7386933249365947,-0.6348171152442019,-0.40213146279304646,-0.971586382562082
7,7,-0.280295729637146,1.3780487775802612,0.15179184079170227,2400,40.0,48.0,0.0, And I'm going to inform her on day one or sooner that if they don't stop this onslaught,"[51164, 400, 286, 478, 516, 281, 1356, 720, 322, 786, 472, 420, 15324, 300, 498, 436, 500, 380, 1590, 341, 18818, 875, 1599, 51564]",0.0,0.05555555555555555,-0.05555555555555555,0.0,0.9,0.1,0.2235,"[{'sentiment_analysis': {'text': ""And I'm going to inform her on day one or sooner that if they don't stop this onslaught"", 'sentiment_score': 6}}, {'text': ""And I'm going to inform her on day one or sooner that if they don't stop this onslaught"", 'sentiment_analysis': {'sentiment_score': 3, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': ""And I'm going to inform her on day one or sooner that if they don't stop this onslaught"", 'sentiment_score': 3.5, 'sentiment_rating': 'Neutral'}}, {'sentiment_analysis': {'text': ""And I'm going to inform her on day one or sooner that if they don't stop this onslaught"", 'sentiment_score': 3}}, {'text': ""And I'm going to inform her on day one or sooner that if they don't stop this onslaught"", 'sentiment_analysis': {'sentiment_score': -0.3, 'sentiment_label': 'negative'}}]","[6, 3, 3.5, 3, -0.3]","[6.0, 3.0, 3.5, 3.0, -0.3]",0.304,0.20065891457894414,-1.0122953379679538,-0.2794528544844421,0.24922962467416648,-0.14404751089745163,0.23030727583252128,-1.3341545757665552
8,8,-0.20086808502674103,1.381818175315857,0.12578707933425903,4800,48.0,58.0,0.0," of criminals and drugs coming into our country, I'm going to immediately impose a 25% tariff","[50364, 295, 23474, 293, 7766, 1348, 666, 527, 1941, 11, 286, 478, 516, 281, 4258, 26952, 257, 3552, 4, 3112, 3661, 50864]",0.0,0.125,-0.125,0.312,0.688,0.0,-0.7096,"[{'sentiment_analysis': {'text': ""of criminals and drugs coming into our country, I'm going to immediately impose a 25% tariff"", 'sentiment_score': 1.5, 'sentiment_type': 'negative'}}, {'text': ""of criminals and drugs coming into our country, I'm going to immediately impose a 25% tariff"", 'sentiment_analysis': {'score': 1, 'sentiment': 'Negative'}}, {'sentiment_analysis': {'text': ""of criminals and drugs coming into our country, I'm going to immediately impose a 25% tariff"", 'sentiment_score': 3}}, {'sentiment_analysis': {'text': ""of criminals and drugs coming into our country, I'm going to immediately impose a 25% tariff"", 'sentiment_score': 2, 'sentiment_rating': 'Negative'}}, {'sentiment_analysis': {'text': ""of criminals and drugs coming into our country, I'm going to immediately impose a 25% tariff"", 'sentiment_score': 2}}]","[1.5, 1, 3, 2, 2]","[1.5, 1.0, 3.0, 2.0, 2.0]",0.19,0.06633249580710801,-1.8511246588461852,3.7631583637716983,-0.7884334198821819,-0.6348171152442019,-2.4100890866351175,-1.7647043051968667
9,9,-0.20086808502674103,1.381818175315857,0.12578707933425903,4800,58.0,69.0,0.0, on everything they send in to the United States of America.,"[50864, 322, 1203, 436, 2845, 294, 281, 264, 2824, 3040, 295, 3374, 13, 51414]",0.0,0.0,0.0,0.0,0.781,0.219,0.4215,"[{'sentiment_analysis': {'text': 'on everything they send in to the United States of America', 'sentiment_score': 2.5, 'sentiment_category': 'Neutral'}}, {'sentiment_analysis': {'text': 'on everything they send in to the United States of America.', 'sentiment_score': 6}}, {'sentiment_analysis': {'text': 'on everything they send in to the United States of America.', 'sentiment_score': 7}}, {'sentiment_analysis': {'text': 'on everything they send in to the United States of America.', 'sentiment_score': 3.5, 'sentiment_label': 'Neutral'}}, {'sentiment_analysis': {'text': 'on everything they send in to the United States of America.', 'sentiment_score': 7}}]","[2.5, 6, 7, 3.5, 7]","[2.5, 6.0, 7.0, 3.5, 7.0]",0.52,0.18601075237738274,-0.3412318812653685,-0.2794528544844421,-0.33323217863812316,0.4399683182751812,0.7905885744806753,-0.5183761410564907
